"ID","Progress","Uni","PTY","Current_Year","Course_Duration","Course_Name","Gender","Age","UKRN","timepoint","Perception_Replication1","Perception_Replication2","Perception_Materials1","Perception_Materials2","Perception_Education1","Perception_Education2","Perception_Access1","Perception_Access2","Perception_Data1","Perception_Data2","Perception_Power1","Perception_Power2","Perception_Preregistration1","Perception_Preregistration2","Perception_Preprint1","Perception_Preprint2","Knowledge_Replication","Knowledge_Materials","Knowledge_Education","Knowledge_Access","Knowledge_Data","Knowledge_Power","Knowledge_Preregistration","Knowledge_Preprint","Awareness_Replication","Awareness_Materials","Awareness_Education","Awareness_Access","Awareness_Data","Awareness_Power","Awareness_Preregistration","Awareness_Preprint","Experience_Replication","Experience_Materials","Experience_Education","Experience_Access","Experience_Data","Experience_Power","Experience_Preregistration","Experience_Preprint","Perception_Score_Total","Perception_Score_Mean","Knowledge_Score_Total","Knowledge_Score_Mean","Awareness_Score_Total","Experience_Score_Total","crisis_aware","crisis_learnt","crisis_explain","os_explain","os_learnt","applicability","comments"
267,"100","UKRN01","Yes","Year 2","4","Psychology","female","20","UKRN",2,1,1,0,0,0,0,0,-1,1,0,1,1,0,-1,-1,0,1,1,1,-1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2,0.125,2,0.25,8,7,1,1,1,0,1,1,""
10,"100","UNI06","Yes","Year 1","4","single honors psychology with placement year","female","19","Non-UKRN",2,2,2,2,2,2,2,2,2,2,2,1,2,1,-2,-1,0,2,2,2,2,0,2,1,2,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,21,1.3125,13,1.625,6,2,1,1,0,1,1,1,"no"
67,"100","UKRN01","Yes","Year 2","4","Psychology","Female","21","UKRN",2,1,1,1,0,1,1,1,1,1,1,1,2,0,1,0,1,1,1,1,0,0,1,-1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,14,0.875,4,0.5,4,0,0,NA,NA,0,0,1,"no, good questions that make you think"
340,"100","UKRN04","No","Year 2","3","BSc (hons) Psychology","Female","22","UKRN",2,2,2,2,2,1,1,2,1,1,2,2,2,2,2,0,-1,2,2,2,1,-1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,23,1.4375,8,1,6,3,1,1,1,0,1,1,""
619,"100","UNI06","Yes","Year 1","4","psychology ","female","19","Non-UKRN",2,1,1,2,0,1,0,1,0,0,0,2,1,0,0,-2,-2,1,0,0,-2,-2,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,5,0.3125,-2,-0.25,8,5,0,NA,NA,1,0,1,""
565,"100","UNI06","Yes","Year 1","4","Psychology ","Female ","20","Non-UKRN",2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,0.125,0,0,8,0,0,NA,NA,0,0,0,""
476,"100","UNI74","No","Year 1","2","Bsc Psychology","Female","49","Non-UKRN",2,1,1,0,-1,0,1,1,1,0,-2,1,1,0,-1,-1,-2,-1,-1,1,-1,-2,-1,1,-1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,-5,-0.625,5,3,0,NA,NA,0,0,0,"Some of these issues should be applicable to undergraduates because these are ethical issues and it should be part of an undergraduates foundation of understanding."
55,"100","UKRN01","Yes","Year 1","4","Psychology","Female","18","UKRN",2,2,1,-1,-1,-1,1,-1,-1,1,2,1,2,0,1,-2,-2,1,-1,1,-2,2,1,1,1,0,0,1,1,0,1,0,1,1,1,0,0,1,0,1,0,2,0.125,4,0.5,4,4,1,0,0,0,0,1,""
538,"100","UNI06","No","Year 1","3","Psychology","female","19","Non-UKRN",2,1,1,-1,1,1,1,2,-1,1,-1,1,2,1,-1,1,0,-1,-1,-1,-1,-1,-1,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,9,0.5625,-3,-0.375,1,2,1,1,1,1,1,1,""
523,"100","UNI06","Yes","Year 2","4","psychology","female","19","Non-UKRN",2,0,-1,1,-1,0,-1,2,2,2,0,1,1,1,0,1,0,-1,-1,1,0,-1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0.5,-1,-0.125,2,0,0,NA,NA,1,0,1,""
