"ID","Uni","Full_Part","PTY","Current_Year","Course_Duration","Course_Name","Gender","UKRN","timepoint","Awareness_Replication","Awareness_Materials","Awareness_Education","Awareness_Access","Awareness_Data","Awareness_Power","Awareness_Preregistration","Awareness_Preprint","Awareness_Score_Total","crisis_aware","crisis_learnt","crisis_explain","os_explain","os_learnt","Awareness_Completed"
151,"UKRN01","Full-time","No","Year 2",3,"Psychology","Female","UKRN",1,1,0,1,0,0,0,1,1,4,0,NA,9999,1,0,1
152,"UKRN01","Full-time","Yes","Year 1",4,"Psychology BSc","F","UKRN",1,1,1,1,1,1,1,0,1,7,1,0,1,1,0,1
154,"UKRN01","Full-time","Yes","Year 2",4,"Psychology BSc","Female","UKRN",1,1,0,0,0,0,1,0,0,2,1,1,1,0,1,1
155,"UKRN01","Full-time","Yes","Year 1",3,"Bsc Psychology","Male","UKRN",1,1,1,0,1,1,0,0,0,4,1,1,1,0,0,1
156,"UKRN01","Full-time","Yes","Year 1",4,"Psychology ","Female","UKRN",1,1,1,0,1,1,0,0,0,4,1,0,0,0,0,1
157,"UKRN01","Full-time","Yes","Year 1",4,"BSc Psychology","Female","UKRN",1,0,0,1,1,0,1,1,1,5,1,0,0,0,0,1
158,"UKRN01","Full-time","No","Year 1",3,"Psychology","Female ","UKRN",1,1,1,0,1,1,0,1,1,6,1,1,0,1,0,1
159,"UKRN01","Full-time","Yes","Year 1",4,"BSc Psychology","female","UKRN",1,0,0,1,1,1,1,0,1,5,0,NA,9999,0,0,1
160,"UKRN01","Full-time","Yes","Year 2",4,"Psychology","female","UKRN",1,0,0,1,0,0,0,1,1,3,1,1,1,0,0,1
161,"UKRN01","Full-time","Yes","Year 2",4,"BSc Psychology","female","UKRN",1,0,0,1,1,1,1,1,1,6,1,0,1,0,0,1
162,"UKRN01","Full-time","No","Year 1",3,"BSc Psychology","Female","UKRN",1,0,0,1,0,0,0,0,1,2,0,NA,9999,0,0,1
163,"UKRN01","Full-time","Yes","Year 1",4,"Psychology BSc","Female","UKRN",1,1,1,0,0,1,0,1,0,4,1,0,1,0,0,1
164,"UKRN01","Full-time","Yes","Year 2",4,"Psychology (BSc)","Female","UKRN",1,1,1,1,1,1,1,1,1,8,1,1,1,0,0,1
165,"UKRN01","Full-time","Yes","Year 1",4,"Psychology Bsc","Female","UKRN",1,1,0,0,1,1,0,0,1,4,1,1,1,0,0,1
166,"UKRN01","Full-time","Yes","Year 1",3,"Psychology","Female","UKRN",1,1,1,0,1,1,0,1,0,5,1,1,9999,0,1,1
167,"UKRN01","Full-time","Yes","Year 1",4,"Psychology BSc ","Female","UKRN",1,1,0,0,0,0,0,1,0,2,0,NA,9999,0,0,1
168,"UKRN01","Full-time","Yes","Year 1",3,"Bsc Psychology","Female","UKRN",1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1
169,"UKRN01","Full-time","Yes","Year 1",4,"Psychology","Female","UKRN",1,0,0,1,0,0,0,0,0,1,1,1,9999,0,0,1
170,"UKRN01","Full-time","Yes","Year 1",4,"BSc psychology","male","UKRN",1,0,0,1,0,0,1,0,1,3,0,NA,9999,0,0,1
