"ID","Progress","Duration_Seconds","Finished","Uni","Full_Part","PTY","PTY_Other","Course_Duration","Current_Year","Course_Duration_Other","Current_Year_Other","Course_Name","Previous_Training","Gender","Perception_1","Perception_2","Perception_3","Perception_4","Perception_5","Perception_6","Perception_7","Perception_8","Perception_9","Perception_10","Perception_11","Perception_12","Perception_13","Perception_14","Perception_15","Perception_16","Awareness_1","Awareness_2","Awareness_3","Awareness_4","Awareness_5","Awareness_6","Awareness_7","Awareness_8","Experience_1","Experience_2","Experience_3","Experience_4","Experience_5","Experience_6","Experience_7","Experience_8","Knowledge_1","Knowledge_2","Knowledge_3","Knowledge_4","Knowledge_5","Knowledge_6","Knowledge_7","Knowledge_8","crisis_aware","crisis_learnt","understanding_crisis","os_explain","os_learnt","applicability","comments","long_desc","crisis_explain","include","UKRN","timepoint","Perception_Score_Total","Perception_Score_Mean","Knowledge_Score_Total","Knowledge_Score_Mean","Awareness_Score_Total","Experience_Score_Total","Perception_Completed","Awareness_Completed","Experience_Completed","Knowledge_Completed","crisis_aware_Completed","crisis_learnt_Completed","os_explain_Completed","os_learnt_Completed","applicability_Completed","crisis_explain_Completed"
131,"100",1766,"1","UKRN09","","","","","Year 2","","","","","2",2,2,1,1,1,1,0,1,1,1,2,2,1,2,-2,-2,1,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,1,0,0,1,1,-1,-1,-1,-1,1,1,1,1,"Not being able to reproduce the same result due to researchers manipulating method and analyses and only including positive results and.",0,0,1,"no","Not being able to reproduce the same result due to researchers manipulating method and analyses and only including positive results and.",1,1,"UKRN",3,14,0.875,0,0,NA,1,1,0,1,1,1,1,1,1,1,1
132,"100",3054,"1","UKRN09","","","","","Year 1","","","","","2",1,1,1,0,0,-1,2,-1,1,-1,1,0,2,1,0,-1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,2,1,1,0,-1,1,0,-1,1,1,"a time when poorly designed experiments were carried out and did not provide reliable or replicable results.",1,1,1,"N/A","a time when poorly designed experiments were carried out and did not provide reliable or replicable results.",1,1,"UKRN",3,6,0.375,3,0.375,8,2,1,1,1,1,1,1,1,1,1,1
133,"100",1516,"1","UKRN09","","","","","Year 2","","","","","2",1,1,1,-1,1,1,1,-1,1,1,1,1,1,-1,0,-1,1,1,1,1,NA,1,NA,1,1,0,1,0,0,1,0,0,-1,-1,0,-1,-1,-1,1,1,0,0,"",1,1,1,"","",NA,1,"UKRN",3,7,0.4375,-3,-0.375,NA,3,1,0,1,1,1,1,1,1,1,0
134,"100",1168,"1","UKRN09","","","","","Year 2","","","","","2",2,1,1,0,-1,-1,1,1,0,0,1,1,0,1,-1,-1,1,NA,1,1,NA,1,NA,1,0,0,0,0,0,0,0,0,1,1,1,-1,1,0,2,-1,0,0,"",0,0,1,"","",NA,1,"UKRN",3,5,0.3125,4,0.5,NA,0,1,0,1,1,1,1,1,1,1,0
135,"100",887,"1","UKRN09","","","","","Year 2","","","","","2",1,1,1,1,1,1,2,2,2,2,1,2,1,-2,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1,-2,-2,1,1,-1,0,0,0,"",1,1,1,"","",NA,1,"UKRN",3,17,1.0625,-1,-0.125,8,2,1,1,1,1,1,1,1,1,1,0
136,"100",2662,"1","UKRN09","","","","","Year 2","","","","","2",1,2,1,1,1,1,2,2,0,1,1,2,0,1,-1,-1,1,1,1,1,NA,NA,NA,1,0,0,1,0,0,0,0,0,2,1,1,-2,-1,0,0,1,1,1,"when result sof studies are difficult or impossible to reproduce ",1,1,1,"","when result sof studies are difficult or impossible to reproduce ",1,1,"UKRN",3,14,0.875,2,0.25,NA,1,1,0,1,1,1,1,1,1,1,1
137,"100",2581,"1","UKRN09","","","","","Year 1","","","","","2",2,2,1,0,1,0,2,2,1,0,1,2,1,0,-1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,2,1,1,-1,-2,-1,-1,0,1,1,"That you cant replicate a study ",0,0,1,"","That you cant replicate a study ",0,1,"UKRN",3,14,0.875,-1,-0.125,8,3,1,1,1,1,1,1,1,1,1,1
138,"100",512,"1","UKRN09","","","","","Year 2","","","","","2",0,1,1,2,2,-1,0,-1,-1,-1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,-1,-1,0,2,-2,-1,0,-1,0,0,"",1,0,1,"","",NA,1,"UKRN",3,4,0.25,-4,-0.5,8,5,1,1,1,1,1,1,1,1,1,0
139,"100",1043,"1","UKRN09","","","","","Year 1","","","","","2",1,1,1,1,2,1,1,-1,2,0,1,-1,1,-1,1,-1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,1,-1,-1,-1,1,-1,1,1,"Problems in studies that is hard to replicate ",0,1,1,"","Problems in studies that is hard to replicate ",0,1,"UKRN",3,9,0.5625,-1,-0.125,8,2,1,1,1,1,1,1,1,1,1,1
140,"100",1887,"1","UKRN09","","","","","Year 1","","","","","2",0,-1,0,1,2,0,2,0,1,-1,1,-1,-1,0,0,-1,NA,1,1,NA,NA,1,NA,1,0,0,0,0,0,0,0,1,2,-1,1,-1,-2,0,1,1,1,1,"problems in replicating studies",1,0,1,"","problems in replicating studies",0,1,"UKRN",3,2,0.125,1,0.125,NA,1,1,0,1,1,1,1,1,1,1,1
