"ID","Uni","Full_Part","PTY","Current_Year","Course_Duration","Course_Name","Previous_Training","Gender","UKRN","timepoint","Awareness_Replication","Awareness_Materials","Awareness_Education","Awareness_Access","Awareness_Data","Awareness_Power","Awareness_Preregistration","Awareness_Preprint","Awareness_Score_Total","crisis_aware","crisis_learnt","crisis_explain","os_explain","os_learnt","Awareness_Completed"
98,"UKRN09","","","Year 1","","","","2","UKRN",3,0,0,1,1,0,0,0,1,3,1,1,0,0,1,1
99,"UKRN09","","","Year 1","","","","2","UKRN",3,1,1,1,0,0,0,0,1,4,0,0,NA,1,0,1
100,"UKRN09","","","Year 2","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,0,0,NA,0,0,1
101,"UKRN09","","","Year 1","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,1,1,1,1,1,1
102,"UKRN09","","","Year 1","","","","2","UKRN",3,1,0,0,0,0,0,0,1,2,1,1,1,0,0,1
104,"UKRN09","","","Year 1","","","","2","UKRN",3,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,1
106,"UKRN09","","","Year 2","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,0,0,NA,1,1,1
107,"UKRN09","","","Year 2","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,1,1,0,1,1,1
108,"UKRN09","","","Year 1","","","","2","UKRN",3,1,0,1,0,1,1,1,1,6,1,1,0,0,0,1
109,"UKRN09","","","Year 2","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,1,0,0,1,0,1
110,"UKRN09","","","Year 2","","","","1","UKRN",3,1,1,1,1,1,1,1,1,8,1,1,0,0,0,1
111,"UKRN09","","","Year 1","","","","1","UKRN",3,1,1,1,1,1,1,1,1,8,1,1,1,1,1,1
112,"UKRN09","","","Year 2","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,0,0,NA,1,1,1
113,"UKRN09","","","Year 2","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,0,0,NA,0,0,1
114,"UKRN09","","","Year 2","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,1,1,1,0,0,1
115,"UKRN09","","","Year 2","","","","2","UKRN",3,1,1,1,0,1,0,1,1,6,1,1,1,0,1,1
116,"UKRN09","","","Year 2","","","","1","UKRN",3,0,0,1,0,0,1,0,1,3,0,0,NA,1,0,1
117,"UKRN09","","","Year 2","","","","2","UKRN",3,1,1,1,1,0,0,1,1,6,0,0,NA,0,0,1
119,"UKRN09","","","Year 1","","","","2","UKRN",3,1,1,1,1,0,1,0,1,6,1,1,0,1,1,1
120,"UKRN09","","","Year 1","","","","2","UKRN",3,1,0,1,0,0,0,0,1,3,1,1,1,0,1,1
121,"UKRN09","","","Year 2","","","","2","UKRN",3,1,1,1,1,1,0,0,1,6,1,1,1,1,1,1
122,"UKRN09","","","Year 2","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,1,0,1,0,1,1
123,"UKRN09","","","Year 2","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,1,1,0,1,1,1
124,"UKRN09","","","Year 2","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,1,1,1,1,1,1
125,"UKRN09","","","Year 2","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,1,1,1,0,0,1
126,"UKRN09","","","Year 1","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,1,1,1,1,1,1
127,"UKRN09","","","Year 2","","","","2","UKRN",3,1,0,1,0,0,0,0,1,3,0,0,NA,1,1,1
128,"UKRN09","","","Year 2","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,1,1,1,0,1,1
129,"UKRN09","","","Year 2","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,0,0,NA,1,0,1
130,"UKRN09","","","Year 1","","","","2","UKRN",3,1,0,1,0,0,0,0,1,3,0,0,NA,1,0,1
131,"UKRN09","","","Year 2","","","","2","UKRN",3,1,0,0,0,0,0,1,1,3,1,1,1,0,0,1
132,"UKRN09","","","Year 1","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,1,1,1,1,1,1
133,"UKRN09","","","Year 2","","","","2","UKRN",3,1,1,1,1,0,1,0,1,6,0,0,NA,1,1,1
134,"UKRN09","","","Year 2","","","","2","UKRN",3,1,0,1,1,0,1,0,1,5,0,0,NA,0,0,1
135,"UKRN09","","","Year 2","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,0,0,NA,1,1,1
136,"UKRN09","","","Year 2","","","","2","UKRN",3,1,1,1,1,0,0,0,1,5,1,1,1,1,1,1
137,"UKRN09","","","Year 1","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,1,1,0,0,0,1
138,"UKRN09","","","Year 2","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,0,0,NA,1,0,1
139,"UKRN09","","","Year 1","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,1,1,0,0,1,1
140,"UKRN09","","","Year 1","","","","2","UKRN",3,0,1,1,0,0,1,0,1,4,1,1,0,1,0,1
141,"UKRN09","","","Year 1","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,1,0,0,0,0,1
142,"UKRN09","","","Year 1","","","","2","UKRN",3,1,1,1,1,0,0,0,1,5,1,1,1,0,0,1
143,"UKRN09","","","Year 1","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,0,0,NA,0,0,1
144,"UKRN09","","","Year 1","","","","2","UKRN",3,0,0,1,0,0,0,1,1,3,1,1,0,0,1,1
145,"UKRN09","","","Year 2","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,1,1,0,1,1,1
146,"UKRN09","","","Year 1","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,0,0,NA,0,0,1
147,"UKRN09","","","Year 1","","","","2","UKRN",3,1,1,1,1,0,1,0,1,6,1,0,1,0,0,1
149,"UNI10","","","Final Year","","","","2","Non-UKRN",3,0,0,1,0,0,0,0,1,2,0,0,NA,0,0,1
150,"UNI10","","","Year 1","","","","2","Non-UKRN",3,1,1,1,1,1,1,1,1,8,1,1,0,1,0,1
151,"UNI10","","","Year 1","","","","2","Non-UKRN",3,1,1,1,0,0,0,0,1,4,1,1,1,1,0,1
152,"UNI10","","","Final Year","","","","2","Non-UKRN",3,1,1,1,1,0,0,1,1,6,0,0,NA,0,0,1
153,"UNI10","","","Year 1","","","","3","Non-UKRN",3,1,1,1,1,1,1,1,1,8,0,0,NA,0,0,1
154,"UNI10","","","Final Year","","","","2","Non-UKRN",3,1,1,1,1,1,1,1,1,8,1,1,0,1,0,1
155,"UNI10","","","Year 1","","","","2","Non-UKRN",3,1,1,1,1,1,1,1,1,8,1,0,0,0,0,1
156,"UNI10","","","Final Year","","","","2","Non-UKRN",3,1,1,1,1,1,1,1,1,8,1,0,1,0,0,1
159,"UNI10","","","Year 2","","","","2","Non-UKRN",3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
161,"UNI10","","","Year 2","","","","2","Non-UKRN",3,1,1,1,1,0,1,1,1,7,0,0,NA,0,0,1
196,"UNI79","","","Year 2","","","","2","Non-UKRN",3,1,0,1,0,0,0,0,0,2,0,0,NA,0,0,1
197,"UNI79","","","Year 1","","","","1","Non-UKRN",3,1,1,1,1,1,1,1,1,8,0,0,NA,0,0,1
198,"UNI79","","","Year 1","","","","2","Non-UKRN",3,1,1,1,1,1,1,1,1,8,0,0,NA,0,0,1
199,"UNI79","","","Year 2","","","","1","Non-UKRN",3,1,0,1,0,1,1,0,1,5,1,0,0,0,0,1
200,"UNI79","","","Year 2","","","","2","Non-UKRN",3,1,1,1,1,1,1,1,1,8,0,0,NA,0,0,1
201,"UNI79","","","Final Year","","","","2","Non-UKRN",3,1,1,1,0,1,1,1,1,7,1,0,1,0,0,1
202,"UNI79","","","Year 1","","","","2","Non-UKRN",3,0,0,0,0,0,0,1,1,2,1,1,0,0,0,1
207,"UNI79","","","Year 1","","","","4","Non-UKRN",3,1,1,1,1,1,1,1,1,8,0,0,NA,0,0,1
