"","ID","Uni","Full_Part","PTY","Current_Year","Course_Duration","Course_Name","Previous_Training","Gender","UKRN","timepoint","Knowledge_Replication","Knowledge_Materials","Knowledge_Education","Knowledge_Access","Knowledge_Data","Knowledge_Power","Knowledge_Preregistration","Knowledge_Preprint","Knowledge_Score_Total","Knowledge_Score_Mean","crisis_aware","crisis_learnt","crisis_explain","os_explain","os_learnt","Knowledge_Completed"
"109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",115,"UKRN01","Full-time","No","Year 1","3","Psychology","No","Female","UKRN",1,3,3,3,1,2,3,1,3,19,19,1,0,1,0,0,1
"111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",118,"UKRN01","Full-time","Yes","Year 1","4","Psychology","Yes","female","UKRN",1,4,3,4,1,3,4,3,3,25,25,1,0,1,0,0,1
"114",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116",121,"UKRN01","Full-time","No","Year 2","3","Psychology","Yes","Female","UKRN",1,1,1,2,1,1,3,2,2,13,13,1,0,1,0,0,1
"117",122,"UKRN01","Full-time","Yes","Year 2","4","Psychology BSc","Yes","Female","UKRN",1,4,3,3,4,3,4,3,3,27,27,1,1,1,1,0,1
"118",123,"UKRN01","Full-time","Yes","Year 2","4","Psychology BSc","Yes","Female","UKRN",1,3,4,4,1,0,3,4,4,23,23,1,1,0,0,0,1
"119",124,"UKRN01","Full-time","Yes","Year 1","4","BSc Psychology","Yes","Female","UKRN",1,3,3,3,1,2,2,2,3,19,19,1,0,1,0,0,1
"120",125,"UKRN01","Full-time","Yes","Year 2","4","BSc Psychology","Yes","Female","UKRN",1,4,3,4,3,1,2,3,3,23,23,1,1,1,0,1,1
"121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",132,"UKRN01","Full-time","Yes","Year 1","4","Psychology ","Yes","Female","UKRN",1,3,1,2,1,1,3,3,3,17,17,1,0,0,1,0,1
"128",133,"UKRN01","Full-time","No","Year 2","3","Psychology","Yes","female","UKRN",1,3,1,3,1,1,1,2,2,14,14,1,1,1,0,0,1
"129",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132",138,"UKRN01","Full-time","Yes","Year 2","4","Psychology Bsc","Yes","Female","UKRN",1,3,2,2,3,1,3,4,4,22,22,1,1,1,0,0,1
"133",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134",140,"UKRN01","Full-time","Yes","Year 2","4","Psychology","Yes","Female","UKRN",1,3,3,2,1,1,1,3,3,17,17,1,1,0,0,0,1
"135",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138",144,"UKRN01","Full-time","Yes","Year 1","4","Psychology Bsc ","Yes","Male ","UKRN",1,4,4,4,3,2,4,1,4,26,26,1,0,0,0,0,1
"139",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140",146,"UKRN01","Full-time","Yes","Year 1","4","BSc Psychology","Yes","Female","UKRN",1,4,4,3,0,0,1,2,3,17,17,1,0,0,0,0,1
"141",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142",148,"UKRN01","Full-time","Yes","Year 1","4","psychology bsc","Yes","female","UKRN",1,4,2,4,1,1,3,3,2,20,20,1,1,0,1,0,1
"143",149,"UKRN01","Full-time","Yes","Placement Year","4","BSc Psychology","No","Female ","UKRN",1,4,3,3,4,3,1,4,2,24,24,1,1,1,1,1,1
"144",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146",152,"UKRN01","Full-time","Yes","Year 1","4","Psychology BSc","Yes","F","UKRN",1,4,4,4,2,1,3,3,3,24,24,1,0,1,1,0,1
"147",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148",154,"UKRN01","Full-time","Yes","Year 2","4","Psychology BSc","Yes","Female","UKRN",1,3,3,2,2,1,3,3,2,19,19,1,1,1,0,1,1
"149",155,"UKRN01","Full-time","Yes","Year 1","3","Bsc Psychology","No","Male","UKRN",1,4,3,3,1,2,3,3,4,23,23,1,1,1,0,0,1
"150",156,"UKRN01","Full-time","Yes","Year 1","4","Psychology ","Yes","Female","UKRN",1,4,3,3,3,1,0,1,3,18,18,1,0,0,0,0,1
"151",157,"UKRN01","Full-time","Yes","Year 1","4","BSc Psychology","Yes","Female","UKRN",1,4,3,2,1,0,2,4,4,20,20,1,0,0,0,0,1
"152",158,"UKRN01","Full-time","No","Year 1","3","Psychology","No","Female ","UKRN",1,4,3,3,1,1,2,2,3,19,19,1,1,0,1,0,1
"153",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154",160,"UKRN01","Full-time","Yes","Year 2","4","Psychology","Yes","female","UKRN",1,1,3,4,3,2,3,3,2,21,21,1,1,1,0,0,1
