"ID","Uni","Full_Part","PTY","Current_Year","Course_Duration","Course_Name","Previous_Training","Gender","UKRN","timepoint","Awareness_Replication","Awareness_Materials","Awareness_Education","Awareness_Access","Awareness_Data","Awareness_Power","Awareness_Preregistration","Awareness_Preprint","Awareness_Score_Total","crisis_aware","crisis_learnt","crisis_explain","os_explain","os_learnt","Awareness_Completed"
803,"UNI68","Full-time","No","Year 1","3","Psychology with Business Management","Yes","Female","Non-UKRN",1,1,1,0,0,0,1,0,0,3,1,1,1,0,0,1
804,"UNI68","Full-time","No","Year 2","3","Psychology","Yes","Female","Non-UKRN",1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1
805,"UNI68","Full-time","No","Year 2","3","Psychology with Clinical Approaches ","Yes","Female","Non-UKRN",1,1,1,1,0,0,1,0,1,5,1,1,1,1,1,1
806,"UNI68","Full-time","Yes","Year 2","4","Psychology BSc","Yes","Female","Non-UKRN",1,1,1,1,1,1,1,0,1,7,1,0,1,1,0,1
807,"UNI68","Full-time","Yes","Final Year","4","Psychology with a Professional Placement","Yes","female","Non-UKRN",1,1,1,1,1,1,1,1,1,8,1,1,1,1,1,1
808,"UNI68","Full-time","No","Final Year","3","Psychology ","Yes","Female","Non-UKRN",1,1,1,1,1,0,1,1,1,7,0,NA,NA,0,0,1
809,"UNI68","Full-time","Yes","Year 1","3","Psychology with Neuroscience","Yes","Female","Non-UKRN",1,1,1,1,1,0,0,0,1,5,1,1,1,0,0,1
810,"UNI68","Full-time","Yes","Final Year","4","Psychology","Yes","Female","Non-UKRN",1,0,1,1,0,0,0,0,1,3,0,NA,NA,0,0,1
811,"UNI68","Full-time","No","Final Year","4","Psychology with Neuroscience ","Yes","Female","Non-UKRN",1,1,0,1,0,0,0,0,1,3,0,NA,NA,0,0,1
812,"UNI68","Full-time","No","Final Year","3","BSc Psychology","Yes","M","Non-UKRN",1,1,1,1,1,1,1,1,1,8,1,0,NA,1,0,1
813,"UNI68","Full-time","No","Final Year","3","BSc Psychology","Yes","Female","Non-UKRN",1,1,1,1,0,0,1,1,1,6,0,NA,NA,0,0,1
814,"UNI68","Full-time","No","Year 2","3","Bcs Psychology","Yes","Female","Non-UKRN",1,0,0,0,0,0,1,0,1,2,0,NA,NA,0,0,1
