"","ID","Uni","Full_Part","PTY","Current_Year","Course_Duration","Course_Name","Previous_Training","Gender","UKRN","timepoint","Perception_Replication1","Perception_Replication2","Perception_Materials1","Perception_Materials2","Perception_Education1","Perception_Education2","Perception_Access1","Perception_Access2","Perception_Data1","Perception_Data2","Perception_Power1","Perception_Power2","Perception_Preregistration1","Perception_Preregistration2","Perception_Preprint1","Perception_Preprint2","Perception_Score_Total","Perception_Score_Mean","crisis_aware","crisis_learnt","crisis_explain","os_explain","os_learnt","Perception_Completed"
"55",58,"UKRN02","Full-time","Yes","Year 1","4","Psychology with counselling","Yes","Female","UKRN",1,2,1,0,1,-1,0,0,-1,1,-1,1,2,1,-1,-1,1,5,5,1,0,1,0,1,1
"56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",60,"UNI11","Full-time","No","Final Year","3","Psychology and child development ","Yes","Female","Non-UKRN",1,2,2,1,2,2,2,2,1,2,-1,1,2,0,1,-1,-1,17,17,1,1,0,0,0,1
"58",61,"UNI11","Full-time","No","Final Year","3","Bsc Psychology ","Yes","Female","Non-UKRN",1,1,1,1,1,0,1,2,2,1,1,1,2,0,1,-1,1,15,15,1,1,1,0,0,1
"59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",64,"UNI11","Full-time","No","Year 1","3","Bsc Psychology","Yes","Female","Non-UKRN",1,2,2,1,1,0,0,2,0,1,-1,2,0,0,-2,1,1,10,10,1,0,1,0,0,1
"62",65,"UNI11","Full-time","No","Year 1","3","Psychology with child development ","Yes","Female","Non-UKRN",1,1,1,1,1,-1,1,1,1,-2,-2,2,1,2,-1,-2,-2,2,2,1,1,0,0,0,1
"63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",68,"UNI11","Full-time","No","Year 1","3","Psychology","Yes","Female","Non-UKRN",1,1,1,0,1,1,0,2,1,2,-1,1,2,0,-1,-2,-2,6,6,1,1,1,0,0,1
"66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",70,"UNI11","Full-time","No","Year 2","3","BSc Psychology ","Yes","Female","Non-UKRN",1,2,2,1,1,1,1,2,2,1,1,0,2,0,1,-1,-1,15,15,1,1,1,1,1,1
"68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",72,"UNI11","Full-time","No","Year 1","3","psychology ","Yes","female","Non-UKRN",1,1,1,0,-1,1,1,1,-1,1,-1,1,2,0,1,-1,-2,4,4,1,1,1,0,0,1
"70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",74,"UNI11","Full-time","No","Year 1","3","Bsc Psychology","Yes","female","Non-UKRN",1,2,1,1,-1,1,1,2,-1,1,1,1,2,2,1,-1,-1,12,12,1,1,1,1,1,1
"72",75,"UNI11","Full-time","No","Year 1","3","Psychology BSc","Yes","Female","Non-UKRN",1,2,2,1,1,1,2,2,2,2,2,2,2,0,-2,-2,-1,16,16,1,0,0,0,0,1
"73",76,"UNI11","Full-time","No","Year 1","3","Psychology","No","female","Non-UKRN",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,-1,-1,11,11,1,1,0,0,0,1
