"","ID","Progress","Uni","Full_Part","PTY","Current_Year","Course_Duration","Course_Name","Previous_Training","Gender","UKRN","timepoint","Perception_Score_Total","Perception_Score_Mean","Knowledge_Score_Total","Knowledge_Score_Mean","Awareness_Score_Total","Experience_Score_Total","crisis_aware","crisis_learnt","crisis_explain","os_explain","os_learnt","applicability","comments"
"220",223,"100","UKRN01","Full-time","Yes","Year 1","4","Psychology BSc","Yes","Female","UKRN",1,7,7,20,20,3,5,0,NA,9999,0,0,1,""
"221",224,"100","UKRN01","Full-time","Yes","Year 1","4","BSc Psychology","No","Male","UKRN",1,10,10,19,19,8,0,0,NA,9999,0,1,1,""
"222",225,"100","UKRN01","Full-time","No","Year 2","3","Psychology BSc","Yes","Female","UKRN",1,7,7,14,14,6,4,0,NA,9999,0,0,1,""
"223",226,"100","UKRN01","Full-time","Yes","Year 2","4","Psychology","Yes","f","UKRN",1,-3,-3,10,10,2,3,0,NA,9999,0,0,1,""
"224",227,"100","UKRN01","Full-time","Yes","Year 2","4","BSc Psychology","Yes","female","UKRN",1,9,9,21,21,2,5,0,NA,9999,1,0,1,""
"225",228,"100","UKRN01","Full-time","Yes","Year 2","4","Psychology","Yes","Female","UKRN",1,18,18,22,22,2,0,0,NA,9999,0,0,1,""
"226",229,"100","UKRN01","Full-time","Yes","Year 1","4","Psychology BSc","Yes","Female ","UKRN",1,3,3,18,18,4,4,0,NA,9999,0,0,1,""
"227",230,"100","UKRN01","Full-time","Yes","Placement Year","4","BSc Psychology","Yes","Female","UKRN",1,9,9,19,19,0,0,1,1,1,0,0,1,""
"228",231,"100","UKRN01","Full-time","Yes","Year 1","4","BSc Psychology ","Yes","Female","UKRN",1,8,8,20,20,3,2,0,NA,9999,0,0,1,""
"229",232,"100","UKRN01","Full-time","Yes","Placement Year","4","Psychology BSc","Yes","Female","UKRN",1,12,12,21,21,2,1,0,NA,9999,0,0,1,""
"230",233,"100","UKRN01","Full-time","Yes","Year 2","4","Psychology","Yes","female","UKRN",1,11,11,22,22,4,4,1,1,1,0,0,1,""
"231",234,"100","UKRN01","Full-time","Yes","Year 1","4","BSc Psychology","Yes","Female","UKRN",1,3,3,19,19,3,1,1,1,0,0,0,1,""
"232",235,"100","UKRN01","Full-time","No","Year 2","3","Psychology","Yes","female","UKRN",1,5,5,15,15,7,1,0,NA,9999,1,0,1,""
"233",236,"100","UKRN01","Full-time","Yes","Placement Year","4","Psychology","Yes","Female","UKRN",1,14,14,18,18,3,3,1,0,0,1,0,1,""
"234",237,"100","UKRN01","Full-time","Yes","Year 1","4","Bsc Psychology","Yes","Female ","UKRN",1,10,10,14,14,5,1,0,NA,9999,0,0,1,""
"235",238,"100","UKRN01","Full-time","Yes","Year 2","4","Psychology ","No","Female","UKRN",1,25,25,30,30,6,2,1,1,1,1,1,1,""
"236",239,"100","UKRN01","Full-time","Yes","Year 2","4","Psychology","Yes","Male","UKRN",1,24,24,31,31,8,4,1,1,1,1,1,1,"no"
"237",240,"100","UKRN01","Full-time","No","Year 1","3","Psychology","Yes","Female","UKRN",1,9,9,21,21,6,2,0,NA,9999,0,0,1,""
"238",241,"100","UKRN01","Full-time","Yes","Year 1","4","psychology ","Yes","female ","UKRN",1,2,2,16,16,7,1,0,NA,9999,0,0,1,""
"239",242,"100","UKRN01","Full-time","Yes","Year 2","3","psychology Bsc","No","female","UKRN",1,6,6,21,21,4,5,1,0,0,0,0,1,""
"240",243,"100","UKRN01","Full-time","No","Year 1","3","Psychology BSc","No","Female","UKRN",1,7,7,19,19,6,4,1,0,1,0,0,1,"n/a"
"241",244,"100","UKRN01","Full-time","Yes","Placement Year","4","Psychology BSc","Yes","Female","UKRN",1,11,11,22,22,8,2,1,0,1,0,0,1,""
"242",245,"100","UKRN01","Full-time","Yes","Year 1","4","Psychology BSc","No","female","UKRN",1,13,13,23,23,0,0,0,NA,9999,0,0,1,"Have a nice day!"
"243",246,"100","UKRN01","Full-time","Yes","Year 1","4","Psychology","Yes","Female","UKRN",1,4,4,16,16,1,0,0,NA,9999,0,0,1,""
"244",247,"100","UKRN01","Full-time","Yes","Placement Year","4","Bsc Psychology","No","Male","UKRN",1,23,23,26,26,8,7,1,1,0,1,1,1,""
"245",248,"100","UKRN01","Full-time","Yes","Placement Year","4","psychology","Yes","Male ","UKRN",1,0,0,17,17,2,6,0,NA,9999,0,1,1,"no additional comments"
"246",249,"100","UKRN01","Full-time","Yes","Year 1","4","BSc Psychology","Yes","Male","UKRN",1,7,7,21,21,1,0,1,0,1,0,0,0,""
"247",250,"100","UKRN01","Full-time","Yes","Year 1","4","Psychology","Yes","Female","UKRN",1,15,15,19,19,7,1,1,0,0,1,0,1,""
"248",251,"100","UKRN01","Full-time","Yes","Final Year","4","Psychology BSc","Yes","Female","UKRN",1,11,11,24,24,2,3,1,1,1,0,0,1,""
"249",252,"100","UKRN01","Full-time","Yes","Year 2","3","Psychology BSc ","No","Female","UKRN",1,2,2,12,12,3,5,0,NA,9999,0,0,1,""
"250",253,"100","UKRN01","Full-time","No","Year 1","3","Psychology","Yes","Female","UKRN",1,12,12,23,23,5,3,0,NA,9999,0,0,1,""
"251",254,"100","UKRN01","Full-time","Yes","Placement Year","4","Bsc Psychology","No","Female","UKRN",1,9,9,14,14,2,1,0,NA,9999,0,0,1,""
"252",255,"100","UKRN01","Full-time","No","Year 1","3","Psychology Bsc (Hons)","Yes","Female","UKRN",1,9,9,17,17,5,0,0,NA,9999,0,0,1,""
"253",256,"100","UKRN01","Full-time","Yes","Placement Year","4","Psychology","Yes","Female","UKRN",1,10,10,18,18,2,3,0,NA,9999,0,0,1,""
