"ID","Uni","Full_Part","PTY","Current_Year","Course_Duration","Course_Name","Previous_Training","Gender","UKRN","timepoint","crisis_aware","crisis_learnt","crisis_explain","os_explain","os_learnt","applicability","crisis_aware_Completed","crisis_learnt_Completed","crisis_explain_Completed","os_explain_Completed","os_learnt_Completed","applicability_Completed"
66,"UNI11","Full-time","No","Final Year","3","BSc Psychology","Yes","Female ","Non-UKRN",1,1,1,NA,0,1,0,1,1,0,1,1,1
67,"UNI11","Full-time","No","Final Year","3","Psychology ","No","Female","Non-UKRN",1,0,NA,NA,0,0,0,1,0,0,1,1,1
68,"UNI11","Full-time","No","Year 1","3","Psychology","Yes","Female","Non-UKRN",1,1,1,1,0,0,1,1,1,1,1,1,1
69,"UNI11","Full-time","No","Year 2","3","psychology","Yes","female","Non-UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
70,"UNI11","Full-time","No","Year 2","3","BSc Psychology ","Yes","Female","Non-UKRN",1,1,1,1,1,1,1,1,1,1,1,1,1
71,"UNI11","Full-time","No","Year 1","3","psychology and child development ","No","Male","Non-UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
72,"UNI11","Full-time","No","Year 1","3","psychology ","Yes","female","Non-UKRN",1,1,1,1,0,0,1,1,1,1,1,1,1
73,"UNI11","Full-time","No","Year 2","3","BSc Psychology","Yes","Female","Non-UKRN",1,0,NA,NA,0,0,0,1,0,0,1,1,1
74,"UNI11","Full-time","No","Year 1","3","Bsc Psychology","Yes","female","Non-UKRN",1,1,1,1,1,1,1,1,1,1,1,1,1
75,"UNI11","Full-time","No","Year 1","3","Psychology BSc","Yes","Female","Non-UKRN",1,1,0,0,0,0,1,1,1,1,1,1,1
76,"UNI11","Full-time","No","Year 1","3","Psychology","No","female","Non-UKRN",1,1,1,0,0,0,1,1,1,1,1,1,1
77,"UNI11","Full-time","No","Year 2","3","BSc Psychology ","Yes","Female","Non-UKRN",1,1,NA,NA,NA,NA,NA,1,0,0,0,0,0
78,"UNI11","Full-time","No","Final Year","3","Psychology ","No","Female ","Non-UKRN",1,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
79,"UKRN01","Full-time","Yes","Year 1","4","BSc Psychology","Yes","Female","UKRN",1,1,1,1,0,0,0,1,1,1,1,1,1
80,"UKRN01","Full-time","Yes","Year 1","4","BSc Psychology ","Yes","Female","UKRN",1,1,0,0,0,0,1,1,1,1,1,1,1
81,"UKRN01","Full-time","Yes","Year 1","4","Psychology ","Yes","Female ","UKRN",1,0,NA,NA,1,1,1,1,0,0,1,1,1
82,"UKRN01","Full-time","No","Year 2","3","Psychology ","Yes","female","UKRN",1,0,NA,NA,1,0,1,1,0,0,1,1,1
83,"UKRN01","Full-time","No","Year 1","3","Psychology","No","Female","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
84,"UKRN01","Full-time","Yes","Year 2","3","Psychology","Yes","Female","UKRN",1,1,1,0,0,1,1,1,1,1,1,1,1
85,"UKRN01","Full-time","Yes","Year 2","4","Psychology ","Yes","Female","UKRN",1,1,1,1,0,0,1,1,1,1,1,1,1
86,"UKRN01","Full-time","Yes","Year 1","4","Psychology","Yes","Female","UKRN",1,0,NA,NA,1,1,1,1,0,0,1,1,1
87,"UKRN01","Full-time","Yes","Year 1","4","BSc psychology","Yes","Female","UKRN",1,1,0,0,0,0,1,1,1,1,1,1,1
88,"UKRN01","Full-time","Yes","Year 1","4","Psychology ","Yes","Female ","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
89,"UKRN01","Full-time","Yes","Year 1","4","BSc Psychology","Yes","Female","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
90,"UKRN01","Full-time","No","Year 1","3","Psychology Bsc","Yes","Female","UKRN",1,1,1,0,0,1,1,1,1,1,1,1,1
91,"UKRN01","Full-time","Yes","Year 1","4","Psychology BSc","Yes","Female","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
92,"UKRN01","Full-time","Yes","Year 2","4","Psychology","Yes","Female","UKRN",1,0,NA,NA,1,0,1,1,0,0,1,1,1
93,"UKRN01","Full-time","Yes","Year 1","3","Psychology Bsc","Yes","Female","UKRN",1,1,0,1,0,0,1,1,1,1,1,1,1
94,"UKRN01","Full-time","Yes","Placement Year","3","BSc Psychology","Yes","Female","UKRN",1,1,1,1,0,0,1,1,1,1,1,1,1
95,"UKRN01","Full-time","Yes","Year 1","4","Psychology with placement year","Yes","Female","UKRN",1,1,1,0,0,0,1,1,1,1,1,1,1
96,"UKRN01","Full-time","Yes","Year 1","4","BSc Psychology","Yes","Female","UKRN",1,1,1,0,0,0,1,1,1,1,1,1,1
97,"UKRN01","Full-time","Yes","Placement Year","4","Psychology BsC","Yes","Female ","UKRN",1,1,1,1,0,0,1,1,1,1,1,1,1
98,"UKRN01","Full-time","Yes","Placement Year","4","Psychology ","Yes","Female","UKRN",1,1,1,1,0,0,1,1,1,1,1,1,1
99,"UKRN01","Full-time","Yes","Year 2","4","Psychology","Yes","Female","UKRN",1,1,0,1,0,0,1,1,1,1,1,1,1
100,"UKRN01","Full-time","No","Year 2","3","Psychology","No","Male","UKRN",1,1,1,0,1,1,1,1,1,1,1,1,1
101,"UKRN01","Full-time","No","Year 2","3","Psychology BSc","Yes","Male","UKRN",1,1,1,1,0,0,1,1,1,1,1,1,1
102,"UKRN01","Full-time","Yes","Year 1","3","Psychology Bsc","Yes","Male","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
103,"UKRN01","Full-time","No","Year 1","3","Psychology BSc","Yes","Female","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
104,"UKRN01","Full-time","Yes","Year 2","4","Psychology","Yes","Female","UKRN",1,1,1,0,0,0,1,1,1,1,1,1,1
105,"UKRN01","Full-time","Yes","Year 1","4","BSc Psychology with Placement Year","Yes","Female","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
106,"UKRN01","Full-time","Yes","Year 1","4","Psychology","Yes","female","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
107,"UKRN01","Full-time","Yes","Placement Year","4","Psychology","Yes","Female","UKRN",1,1,1,1,1,1,1,1,1,1,1,1,1
108,"UKRN01","Full-time","Yes","Year 1","4","Psychology","Yes","Female ","UKRN",1,1,1,1,0,0,1,1,1,1,1,1,1
109,"UKRN01","Full-time","No","Year 2","3","BSc Psychology ","Yes","Female","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
110,"UKRN01","Full-time","Yes","Year 2","4","Psychology","Yes","Female","UKRN",1,1,1,1,0,0,1,1,1,1,1,1,1
111,"UKRN01","Full-time","Yes","Year 1","4","BSc Psychology  ","Yes","Female ","UKRN",1,0,NA,NA,1,1,1,1,0,0,1,1,1
112,"UKRN01","Full-time","Yes","Year 2","4","Psychology ","Yes","Female","UKRN",1,1,1,1,0,1,1,1,1,1,1,1,1
113,"UKRN01","Full-time","Yes","Year 1","4","Psychology","Yes","female","UKRN",1,0,NA,NA,1,0,1,1,0,0,1,1,1
114,"UKRN01","Full-time","Yes","Year 1","4","PSYCHOLOGY ","Yes","FEMALE","UKRN",1,0,NA,NA,0,0,0,1,0,0,1,1,1
115,"UKRN01","Full-time","No","Year 1","3","Psychology","No","Female","UKRN",1,1,0,1,0,0,1,1,1,1,1,1,1
